datetime,temperature,pressure,windspeed,electricity_consumption
2013/7/7 16:00,-5,995,6.17,270
2013/7/7 17:00,-5,994,8.8,237
2013/7/7 18:00,-5,992,13.695,270
2013/7/7 19:00,-5.7,988,15.825,270
2013/7/7 20:00,-5,1003,19.205,273
2013/7/7 21:00,-7.1,986,20.22,294
2013/7/7 22:00,-7.9,989,2.765,282
2013/7/7 23:00,-7.9,997,3.28,306
2013/7/8 0:00,-9.3,1001,2.015,330
2013/7/8 1:00,-7.9,998,3.305,348
2013/7/8 2:00,-9.3,1000,2.64,384
2013/7/8 3:00,-10,997,2.64,372
2013/7/8 4:00,-8.6,1001,3.555,378
2013/7/8 5:00,-7.9,985,6.435,405
2013/7/8 6:00,-7.1,987,10.19,342
2013/7/8 7:00,-6.4,993,14.735,279
2013/7/8 8:00,-7.1,994,20.03,228
2013/7/8 9:00,-7.1,994,27.68,207
2013/7/8 10:00,-5,1006,36.12,189
2013/7/8 11:00,-5,1001,46.8,213
2013/7/8 12:00,-5,1007,56.115,201
2013/7/8 13:00,-4.3,994,64.555,210
2013/7/8 14:00,-4.3,1003,75.26,210
2013/7/8 15:00,-5.7,994,84.965,189
2013/7/8 16:00,-5,994,94.795,213
2013/7/8 17:00,-5,1004,102.97,210
2013/7/8 18:00,-5,1007,112.3,222
2013/7/8 19:00,-5.7,1003,122.255,204
2013/7/8 20:00,-5,994,139.745,204
2013/7/8 21:00,-7.9,1003,152.08,222
2013/7/8 22:00,-7.9,1003,161.535,222
2013/7/8 23:00,-8.6,1000,173.855,216
2013/7/9 0:00,-9.3,998,184.91,201
2013/7/9 1:00,-9.3,1011,198.37,195
2013/7/9 2:00,-10,997,210.69,213
2013/7/9 3:00,-8.6,1001,221.87,201
2013/7/9 4:00,-10.7,1003,231.075,216
2013/7/9 5:00,-10,1003,244.02,201
2013/7/9 6:00,-10.7,998,251.695,195
2013/7/9 7:00,-10.7,1012,257.38,201
2013/7/9 8:00,-10,1004,262.025,195
2013/7/9 9:00,-8.6,1003,269.95,210
2013/7/9 10:00,-7.1,1004,278.265,198
2013/7/9 11:00,-6.4,1008,286.955,198
2013/7/9 12:00,-7.1,1018,296.395,222
2013/7/9 13:00,-5.7,1010,305.71,222
2013/7/9 14:00,-5.7,1008,313.9,189
2013/7/9 15:00,-6.4,996,322.825,204
2013/7/9 16:00,-5.7,1013,328.975,213
2013/7/9 17:00,-6.4,1007,336.375,210
2013/7/9 18:00,-6.4,1003,342.685,210
2013/7/9 19:00,-6.4,1003,346.73,222
2013/7/9 20:00,-7.9,1004,352.775,213
2013/7/9 21:00,-6.4,999,356.17,222
2013/7/9 22:00,-8.6,1011,359.55,195
2013/7/9 23:00,-8.6,1003,363.32,192
2013/7/10 0:00,-7.9,1002,370.095,210
2013/7/10 1:00,-7.9,994,377.245,204
2013/7/10 2:00,-8.6,1013,382.805,204
2013/7/10 3:00,-7.9,1004,391.745,222
2013/7/10 4:00,-7.9,1006,399.645,219
2013/7/10 5:00,-7.9,1012,404.94,204
2013/7/10 6:00,-11.4,997,2.14,222
2013/7/10 7:00,-11.4,1012,4.505,195
2013/7/10 8:00,-12.1,1009,5.645,201
2013/7/10 9:00,-10,1000,9.04,198
2013/7/10 10:00,-7.9,1003,6.67,189
2013/7/10 11:00,-5.7,997,5.795,222
2013/7/10 12:00,-6.4,997,9.175,210
2013/7/10 13:00,-3.6,997,14.735,216
2013/7/10 14:00,-3.6,999,22.635,207
2013/7/10 15:00,-5,997,30.035,198
2013/7/10 16:00,-2.9,990,33.83,234
2013/7/10 17:00,-4.3,989,5.27,240
2013/7/10 18:00,-7.1,987,4.505,261
2013/7/10 19:00,-7.1,985,8.01,252
2013/7/10 20:00,-6.4,1001,12.43,285
2013/7/10 21:00,-6.4,991,15.825,327
2013/7/10 22:00,-6.4,983,19.83,315
2013/7/10 23:00,-9.3,993,2.265,315
2013/7/11 0:00,-10,997,3.28,309
2013/7/11 1:00,-4.3,984,5.545,264
2013/7/11 2:00,-7.1,992,8.335,216
2013/7/11 3:00,-10,992,9.5,234
2013/7/11 4:00,-8.6,991,2.79,213
2013/7/11 5:00,-7.1,984,8.675,198
2013/7/11 6:00,-7.9,1000,14.735,210
2013/7/11 7:00,-7.9,983,20.545,186
2013/7/11 8:00,-8.6,999,26.605,189
2013/7/11 9:00,-7.9,998,34.28,204
2013/7/11 10:00,-5.7,994,42.455,204
2013/7/11 11:00,-5,997,50.755,216
2013/7/11 12:00,-4.3,1004,58.405,201
2013/7/11 13:00,-3.6,997,65.705,210
2013/7/11 14:00,-5.7,995,72.98,195
2013/7/11 15:00,-4.3,985,81.67,204
2013/7/11 16:00,-5.7,1000,90.47,204
2013/7/11 17:00,-6.4,985,96.405,198
2013/7/11 18:00,-6.4,1001,101.325,216
2013/7/11 19:00,-6.4,984,107.975,219
2013/7/11 20:00,-7.1,1004,2.015,192
2013/7/11 21:00,-7.9,990,4.77,201
2013/7/11 22:00,-7.9,996,2.265,246
2013/7/11 23:00,-9.3,990,2.905,246
2013/7/12 0:00,-9.3,1001,2.54,249
2013/7/12 1:00,-8.6,1002,5.205,204
2013/7/12 2:00,-10.7,985,6.37,228
2013/7/12 3:00,-10.7,985,2.265,228
2013/7/12 4:00,-10.7,1003,4.88,222
2013/7/12 5:00,-10,987,5.545,231
2013/7/12 6:00,-14.3,999,9.425,258
2013/7/12 7:00,-13.6,994,9.565,243
2013/7/12 8:00,-12.9,997,2.64,252
2013/7/12 9:00,-10,996,2.54,288
2013/7/12 10:00,-7.9,1001,4.455,276
2013/7/12 11:00,-7.9,1002,6.245,294
2013/7/12 12:00,-3.6,996,2.39,276
2013/7/12 13:00,-2.9,984,2.53,264
2013/7/12 14:00,-3.6,1001,4.895,294
2013/7/12 15:00,-2.9,993,8.15,267
2013/7/12 16:00,-3.6,995,11.405,306
2013/7/12 17:00,-6.4,1002,12.945,228
2013/7/12 18:00,-5,982,16.075,267
2013/7/12 19:00,-8.6,988,16.965,258
2013/7/12 20:00,-7.9,983,2.015,258
2013/7/12 21:00,-9.3,997,2.64,294
2013/7/12 22:00,-8.6,983,2.14,321
2013/7/12 23:00,-11.4,994,2.905,348
2013/7/13 0:00,-10.7,994,2.015,360
2013/7/13 1:00,-10.7,998,3.54,498
2013/7/13 2:00,-11.4,984,3.29,468
2013/7/13 3:00,-12.1,986,6.42,432
2013/7/13 4:00,-10.7,991,7.71,369
2013/7/13 5:00,-11.4,985,9.225,342
2013/7/13 6:00,-10.7,988,10.89,366
2013/7/13 7:00,-12.1,997,13.27,354
2013/7/13 8:00,-10.7,986,1.89,372
2013/7/13 9:00,-10,994,3.29,366
2013/7/13 10:00,-5.7,984,1.515,327
2013/7/13 11:00,-5.7,998,3.53,333
2013/7/13 12:00,-2.9,998,3.795,309
2013/7/13 13:00,-2.1,985,6.685,264
2013/7/13 14:00,-0.7,986,17.265,255
2013/7/13 15:00,-1.4,994,25.705,264
2013/7/13 16:00,-1.4,989,32.98,282
2013/7/13 17:00,-3.6,984,5.02,258
2013/7/13 18:00,-3.6,998,5.77,243
2013/7/13 19:00,-4.3,990,7.06,270
2013/7/13 20:00,-5.7,989,1.89,303
2013/7/13 21:00,-7.9,988,5.77,318
2013/7/13 22:00,-7.1,991,2.665,342
2013/7/13 23:00,-5.7,995,4.38,282
2013/7/14 0:00,-5,1005,9.175,225
2013/7/14 1:00,-6.4,1000,15.235,213
2013/7/14 2:00,-5.7,989,24.425,225
2013/7/14 3:00,-6.4,1000,30.7,219
2013/7/14 4:00,-7.9,1004,39.375,207
2013/7/14 5:00,-8.6,1008,46.9,201
2013/7/14 6:00,-7.9,1007,51.835,195
2013/7/14 7:00,-8.6,1006,57.395,192
2013/7/14 8:00,-8.6,1001,65.795,213
2013/7/14 9:00,-8.6,1007,69.965,225
2013/7/14 10:00,-5.7,997,75.135,198
2013/7/14 11:00,-6.4,1014,82.56,225
2013/7/14 12:00,-6.4,1006,89.96,207
2013/7/14 13:00,-4.3,1005,96.52,210
2013/7/14 14:00,-6.4,1002,100.415,213
2013/7/14 15:00,-4.3,1008,107.815,213
2013/7/14 16:00,-4.3,1005,116.755,195
2013/7/14 17:00,-5.7,1013,123.28,222
2013/7/14 18:00,-5.7,1014,130.18,195
2013/7/14 19:00,-8.6,998,139.37,207
2013/7/14 20:00,-10,1016,150.55,204
2013/7/14 21:00,-10.7,1012,159.365,186
2013/7/14 22:00,-11.4,1002,168.805,204
2013/7/14 23:00,-10,1019,175.58,201
2013/7/15 0:00,-10,1018,183.38,189
2013/7/15 1:00,-10.7,1007,191.43,213
2013/7/15 2:00,-10.7,1010,205.265,210
2013/7/15 3:00,-11.4,1009,215.695,192
2013/7/15 4:00,-11.4,1011,226.15,183
2013/7/15 5:00,-12.1,1001,234.59,195
2013/7/15 6:00,-10.7,1005,241.115,204
2013/7/15 7:00,-10.7,1002,249.165,207
2013/7/15 8:00,-11.4,1021,258.215,207
2013/7/15 9:00,-10,1008,264.99,210
2013/7/15 10:00,-9.3,1006,272.915,195
2013/7/15 11:00,-9.3,1012,281.465,204
2013/7/15 12:00,-8.6,1020,289.515,210
2013/7/15 13:00,-7.9,1011,298.455,192
2013/7/15 14:00,-7.1,1003,308.285,222
2013/7/15 15:00,-6.4,1010,315.585,207
2013/7/15 16:00,-7.1,1016,324.01,195
2013/7/15 17:00,-7.1,1017,331.16,210
2013/7/15 18:00,-8.6,1011,336.47,216
2013/7/15 19:00,-8.6,1010,340.725,216
2013/7/15 20:00,-9.3,1004,1.64,219
2013/7/15 21:00,-9.3,1003,2.54,195
2013/7/15 22:00,-12.1,1014,4.255,210
2013/7/15 23:00,-10.7,1017,3.755,243
2013/7/16 0:00,-12.9,1014,8.01,219
2013/7/16 1:00,-10,1007,10.265,222
2013/7/16 2:00,-12.9,1007,3.665,210
2013/7/16 3:00,-12.9,1006,3.88,210
2013/7/16 4:00,-10.7,1002,1.89,198
2013/7/16 5:00,-13.6,1006,3.165,204
2013/7/16 6:00,-12.9,1003,1.765,207
2013/7/16 7:00,-13.6,1007,3.305,198
2013/7/16 8:00,-12.1,1007,5.72,189
2013/7/16 9:00,-11.4,1005,8.85,210
2013/7/16 10:00,-7.9,1005,5.52,219
2013/7/16 11:00,-6.4,1005,5.52,213
2013/7/16 12:00,-5.7,1016,6.435,234
2013/7/16 13:00,-5,1009,1.765,243
2013/7/16 14:00,-5.7,1010,3.415,228
2013/7/16 15:00,-4.3,999,3.665,216
2013/7/16 16:00,-7.1,996,2.415,219
2013/7/16 17:00,-6.4,1012,2.665,249
2013/7/16 18:00,-7.9,1013,4.43,252
2013/7/16 19:00,-7.9,1005,2.14,288
2013/7/16 20:00,-10,1000,2.78,255
2013/7/16 21:00,-8.6,1013,3.73,273
2013/7/16 22:00,-9.3,1010,2.64,273
2013/7/16 23:00,-13.6,998,5.645,264
2013/7/17 0:00,-10.7,1004,6.935,324
2013/7/17 1:00,-10,1011,9.565,327
2013/7/17 2:00,-12.1,1004,13.71,348
2013/7/17 3:00,-11.4,1001,18.855,246
2013/7/17 4:00,-11.4,1004,22.875,240
2013/7/17 5:00,-12.1,1003,25.63,237
2013/7/17 6:00,-10.7,1010,29.01,213
2013/7/17 7:00,-12.9,1011,32.015,240
2013/7/17 8:00,-12.1,997,35.27,231
2013/7/17 9:00,-9.3,1016,38.79,222
2013/7/17 10:00,-8.6,1016,42.56,234
2013/7/17 11:00,-7.1,1014,50.46,210
2013/7/17 12:00,-6.4,1002,58.01,189
2013/7/17 13:00,-5,1003,65.285,225
2013/7/17 14:00,-5.7,1013,74.225,222
2013/7/17 15:00,-4.3,997,82.775,213
2013/7/17 16:00,-5,1013,89.7,213
2013/7/17 17:00,-5,997,96.725,216
2013/7/17 18:00,-7.9,1004,105.9,198
2013/7/17 19:00,-5.7,998,113.05,207
2013/7/17 20:00,-7.1,1012,117.595,222
2013/7/17 21:00,-7.9,998,121.115,201
2013/7/17 22:00,-7.9,1015,126.8,216
2013/7/17 23:00,-10,1011,131.72,210
2013/7/18 0:00,-12.1,1002,3.415,213
2013/7/18 1:00,-10.7,1004,4.895,186
2013/7/18 2:00,-10,1001,5.02,204
2013/7/18 3:00,-10,1003,5.27,189
2013/7/18 4:00,-12.1,996,10.19,204
2013/7/18 5:00,-11.4,996,15.485,204
2013/7/18 6:00,-15,995,18.365,207
2013/7/18 7:00,-12.1,995,22.76,204
2013/7/18 8:00,-14.3,1004,25.015,198
2013/7/18 9:00,-10.7,1015,29.16,237
2013/7/18 10:00,-10,1010,31.915,237
2013/7/18 11:00,-7.1,996,35.545,228
2013/7/18 12:00,-7.9,1004,43.595,228
2013/7/18 13:00,-6.4,1009,49.655,213
2013/7/18 14:00,-7.1,1001,54.2,192
2013/7/18 15:00,-5,1005,62.225,192
2013/7/18 16:00,-6.4,1003,69.25,204
2013/7/18 17:00,-6.4,995,74.06,222
2013/7/18 18:00,-7.9,995,80.495,189
2013/7/18 19:00,-5.7,997,85.805,201
2013/7/18 20:00,-7.9,995,90.325,201
2013/7/18 21:00,-9.3,1006,93.595,228
2013/7/18 22:00,-9.3,1011,95.385,198
2013/7/18 23:00,-12.1,1011,99.405,198
2013/7/19 0:00,-9.3,998,103.785,201
2013/7/19 1:00,-11.4,1009,104.7,231
2013/7/19 2:00,-12.9,1010,108.08,216
2013/7/19 3:00,-12.1,996,112.5,201
2013/7/19 4:00,-14.3,1001,116.255,216
2013/7/19 5:00,-11.4,1011,117.545,204
2013/7/19 6:00,-10.7,994,120.8,210
2013/7/19 7:00,-13.6,995,3.54,207
2013/7/19 8:00,-12.9,994,3.415,213
2013/7/19 9:00,-10,1002,5.67,204
2013/7/19 10:00,-7.9,1005,9.565,198
2013/7/19 11:00,-7.1,1000,13.96,204
2013/7/19 12:00,-5.7,998,20.27,195
2013/7/19 13:00,-5,992,28.335,198
2013/7/19 14:00,-3.6,1005,35.27,204
2013/7/19 15:00,-5,1010,41.795,213
2013/7/19 16:00,-5,994,48.23,201
2013/7/19 17:00,-4.3,991,53.165,204
2013/7/19 18:00,-6.4,998,59.85,216
2013/7/19 19:00,-8.6,1010,62.995,189
2013/7/19 20:00,-10,1012,66.375,210
2013/7/19 21:00,-7.9,993,5.52,222
2013/7/19 22:00,-10,1004,8.665,222
2013/7/19 23:00,-10,1011,13.06,198
2013/7/20 0:00,-10.7,1000,3.415,195
2013/7/20 1:00,-12.1,994,7.685,189
2013/7/20 2:00,-11.4,1014,11.355,216
2013/7/20 3:00,-10,998,15.875,192
2013/7/20 4:00,-12.1,1006,4.13,207
2013/7/20 5:00,-14.3,1011,3.88,222
2013/7/20 6:00,-11.4,1001,9.925,195
2013/7/20 7:00,-13.6,1009,13.945,222
2013/7/20 8:00,-12.1,1004,16.325,189
2013/7/20 9:00,-8.6,1011,6.545,204
2013/7/20 10:00,-7.9,1013,4.38,213
2013/7/20 11:00,-7.1,994,5.92,219
2013/7/20 12:00,-7.1,1002,9.3,240
2013/7/20 13:00,-4.3,1001,11.09,231
2013/7/20 14:00,-5,1004,13.595,213
2013/7/20 15:00,-5,991,16.26,222
2013/7/20 16:00,-5,1000,3.665,249
2013/7/20 17:00,-6.4,1000,5.33,270
2013/7/20 18:00,-7.9,1002,1.575,246
2013/7/20 19:00,-8.6,1003,2.965,267
2013/7/20 20:00,-7.1,999,2.855,264
2013/7/20 21:00,-7.9,1004,4.43,282
2013/7/20 22:00,-11.4,1003,5.07,294
2013/7/20 23:00,-10,993,4.645,306
2013/7/21 0:00,-10.7,995,3.29,342
2013/7/21 1:00,-10.7,1004,4.33,339
2013/7/21 2:00,-9.3,1009,7.71,225
2013/7/21 3:00,-10,991,11.48,225
2013/7/21 4:00,-10.7,1003,15.235,228
2013/7/21 5:00,-10.7,998,18.365,216
2013/7/21 6:00,-10,990,22.26,219
2013/7/21 7:00,-10.7,992,26.78,216
2013/7/21 8:00,-11.4,990,4.77,237
2013/7/21 9:00,-7.9,1006,6.67,216
2013/7/21 10:00,-7.1,998,6.42,225
2013/7/21 11:00,-7.1,1006,10.315,228
2013/7/21 12:00,-4.3,999,3.755,210
2013/7/21 13:00,-5,1000,8.01,231
2013/7/21 14:00,-2.9,989,10.14,204
2013/7/21 15:00,-3.6,994,1.64,228
2013/7/21 16:00,-3.6,1005,5.545,246
2013/7/21 17:00,-2.1,996,9.175,282
2013/7/21 18:00,-4.3,1004,2.415,315
2013/7/21 19:00,-3.6,988,6.795,354
2013/7/21 20:00,-5,1007,4.005,342
2013/7/21 21:00,-10,1001,2.515,360
2013/7/21 22:00,-7.9,997,2.84,384
2013/7/21 23:00,-10,999,2.915,405
2013/7/22 0:00,-10.7,1002,5.67,402
2013/7/22 1:00,-9.3,1006,9.05,354
2013/7/22 2:00,-10.7,1005,9.815,258
2013/7/22 3:00,-10,1007,1.075,243
2013/7/22 4:00,-11.4,988,4.13,231
2013/7/22 5:00,-11.4,998,7.26,222
2013/7/22 6:00,-13.6,997,11.155,246
2013/7/22 7:00,-12.9,998,13.57,261
2013/7/22 8:00,-12.1,1007,15.825,276
2013/7/22 9:00,-8.6,989,19.955,303
2013/7/22 10:00,-6.4,1001,5.02,243
2013/7/22 11:00,-5,1009,6.795,228
2013/7/22 12:00,-6.4,990,9.425,240
2013/7/22 13:00,-4.3,1004,13.055,258
2013/7/22 14:00,-3.6,995,17.99,222
2013/7/22 15:00,-4.3,991,25.64,249
2013/7/22 16:00,-5,989,33.565,231
2013/7/22 17:00,-3.6,997,41.115,231
2013/7/22 18:00,-6.4,994,46.16,243
2013/7/22 19:00,-6.4,994,52.935,198
2013/7/22 20:00,-5.7,1002,61.61,225
2013/7/22 21:00,-7.9,999,69.16,216
2013/7/22 22:00,-7.1,1006,76.185,207
2013/7/22 23:00,-7.9,1011,82.62,213
2013/7/23 0:00,-9.3,1009,90.395,192
2013/7/23 1:00,-8.6,1007,97.945,216
2013/7/23 2:00,-10.7,995,104.97,210
2013/7/23 3:00,-11.4,1010,108.725,198
2013/7/23 4:00,-9.3,1009,115.625,204
2013/7/23 5:00,-10,995,122.4,201
2013/7/23 6:00,-11.4,1001,127.945,189
2013/7/23 7:00,-10,996,133.255,207
2013/7/23 8:00,-10.7,1005,140.405,198
2013/7/23 9:00,-10,1002,148.08,204
2013/7/23 10:00,-8.6,1005,156.88,204
2013/7/23 11:00,-8.6,993,164.055,216
2013/7/23 12:00,-5.7,1007,173.87,201
2013/7/23 13:00,-6.4,1003,181.795,198
2013/7/23 14:00,-5,992,193.1,192
2013/7/23 15:00,-6.4,1001,201.15,216
2013/7/23 16:00,-6.4,1003,208.05,207
2013/7/23 17:00,-4.3,1004,214.7,210
2013/7/23 18:00,-5,1006,221.725,189
2013/7/23 19:00,-6.4,1007,228.75,216
2013/7/23 20:00,-7.9,1010,238.69,219
2013/7/23 21:00,-7.1,1013,245.865,201
2013/7/23 22:00,-7.9,1005,251.55,207
2013/7/23 23:00,-10,1006,256.47,216
2013/8/1 0:00,-7.9,994,81.65,228
2013/8/1 1:00,-7.1,989,85.545,231
2013/8/1 2:00,-7.1,987,90.465,216
2013/8/1 3:00,-7.1,1004,95.635,240
2013/8/1 4:00,-7.9,998,100.53,228
2013/8/1 5:00,-7.1,992,103.16,216
2013/8/1 6:00,-5.7,988,105.915,237
2013/8/1 7:00,-7.1,997,4.895,210
2013/8/1 8:00,-5,988,7.9,240
2013/8/1 9:00,-5,1001,11.03,240
2013/8/1 10:00,-2.9,996,14.925,249
2013/8/1 11:00,-1.4,985,19.07,228
2013/8/1 12:00,0,1003,3.755,237
2013/8/1 13:00,1.4,996,10.905,201
2013/8/1 14:00,2.9,992,18.43,225
2013/8/1 15:00,3.6,988,22.975,210
2013/8/1 16:00,0.7,999,29.91,231
2013/8/1 17:00,0.7,986,33.68,210
2013/8/1 18:00,0.7,992,38.475,204
2013/8/1 19:00,0.7,993,43.395,213
2013/8/1 20:00,-2.9,991,47.79,249
2013/8/1 21:00,-2.1,994,51.185,237
2013/8/1 22:00,-2.9,985,55.08,249
2013/8/1 23:00,-0.7,991,57.96,270
