date,COMED_MW,hour
2011/1/4,14527,19
2011/1/4,14466,20
2011/1/4,14312,21
2011/1/4,14038,22
2011/1/4,13498,23
2011/1/5,12600,0
2011/1/5,11829,1
2011/1/5,11324,2
2011/1/5,11062,3
2011/1/5,10908,4
2011/1/5,10930,5
2011/1/5,11194,6
2011/1/5,11868,7
2011/1/5,13012,8
2011/1/5,13580,9
2011/1/5,13579,10
2011/1/5,13561,11
2011/1/5,13584,12
2011/1/5,13530,13
2011/1/5,13442,14
2011/1/5,13374,15
2011/1/5,13244,16
2011/1/5,13265,17
2011/1/5,13826,18
2011/1/5,14335,19
2011/1/5,14122,20
2011/1/5,13861,21
2011/1/5,13526,22
2011/1/5,12968,23
2011/1/6,12062,0
2011/1/6,11268,1
2011/1/6,10736,2
2011/1/6,10418,3
2011/1/6,10252,4
2011/1/6,10254,5
2011/1/6,10522,6
2011/1/6,11221,7
2011/1/6,12410,8
2011/1/6,13236,9
2011/1/6,13349,10
2011/1/6,13440,11
2011/1/6,13426,12
2011/1/6,13377,13
2011/1/6,13247,14
2011/1/6,13112,15
2011/1/6,12965,16
2011/1/6,12993,17
2011/1/6,13607,18
2011/1/6,14420,19
2011/1/6,14296,20
2011/1/6,14099,21
2011/1/6,13771,22
2011/1/6,13253,23
2011/1/7,12388,0
2011/1/7,11582,1
2011/1/7,11132,2
2011/1/7,10833,3
2011/1/7,10653,4
2011/1/7,10652,5
2011/1/7,10913,6
2011/1/7,11538,7
2011/1/7,12665,8
2011/1/7,13414,9
2011/1/7,13499,10
2011/1/7,13552,11
2011/1/7,13553,12
2011/1/7,13441,13
2011/1/7,13323,14
2011/1/7,13415,15
2011/1/7,13504,16
2011/1/7,13558,17
2011/1/7,14028,18
2011/1/7,14500,19
2011/1/7,14361,20
2011/1/7,14143,21
2011/1/7,13832,22
2011/1/7,13438,23
2011/1/8,12724,0
2011/1/8,12044,1
2011/1/8,11494,2
2011/1/8,11218,3
2011/1/8,11035,4
2011/1/8,10989,5
2011/1/8,11025,6
2011/1/8,11326,7
2011/1/8,11757,8
2011/1/8,11991,9
2011/1/8,12164,10
2011/1/8,12315,11
2011/1/8,12376,12
2011/1/8,12308,13
2011/1/8,12151,14
2011/1/8,11919,15
2011/1/8,11717,16
2011/1/8,11750,17
2011/1/8,12316,18
2011/1/8,13212,19
2011/1/8,13196,20
2011/1/8,13104,21
2011/1/8,12897,22
2011/1/8,12607,23
2011/1/9,12011,0
2011/1/9,11469,1
2011/1/9,10936,2
2011/1/9,10634,3
2011/1/9,10531,4
2011/1/9,10478,5
2011/1/9,10499,6
2011/1/9,10670,7
2011/1/9,10955,8
2011/1/9,11053,9
2011/1/9,11113,10
2011/1/9,11179,11
2011/1/9,11154,12
2011/1/9,11116,13
2011/1/9,11028,14
2011/1/9,10959,15
2011/1/9,10880,16
2011/1/9,11105,17
2011/1/9,11772,18
2011/1/9,12671,19
2011/1/9,12716,20
2011/1/9,12619,21
2011/1/9,12368,22
2011/1/9,11975,23
2011/1/10,11382,0
2011/1/10,10817,1
2011/1/10,10462,2
2011/1/10,10274,3
2011/1/10,10202,4
2011/1/10,10285,5
2011/1/10,10606,6
2011/1/10,11369,7
2011/1/10,12574,8
2011/1/10,13321,9
2011/1/10,13208,10
2011/1/10,13159,11
2011/1/10,13089,12
2011/1/10,13036,13
2011/1/10,12909,14
2011/1/10,12901,15
2011/1/10,12871,16
2011/1/10,13011,17
2011/1/10,13620,18
2011/1/10,14197,19
2011/1/10,14018,20
2011/1/10,13818,21
2011/1/10,13482,22
2011/1/10,12949,23
2011/1/11,12073,0
2011/1/11,11263,1
2011/1/11,10747,2
2011/1/11,10457,3
2011/1/11,10320,4
2011/1/11,10339,5
2011/1/11,10630,6
2011/1/11,11359,7
2011/1/11,12537,8
2011/1/11,13201,9
2011/1/11,13279,10
2011/1/11,13380,11
2011/1/11,13468,12
2011/1/11,13369,13
2011/1/11,13317,14
2011/1/11,13295,15
2011/1/11,13226,16
2011/1/11,13256,17
2011/1/11,13699,18
2011/1/11,14402,19
2011/1/11,14278,20
2011/1/11,14043,21
2011/1/11,13739,22
2011/1/11,13141,23
2011/1/12,12275,0
2011/1/12,11510,1
2011/1/12,11043,2
2011/1/12,10736,3
2011/1/12,10593,4
2011/1/12,10589,5
2011/1/12,10853,6
2011/1/12,11551,7
2011/1/12,12726,8
2011/1/12,13311,9
2011/1/12,13364,10
2011/1/12,13318,11
2011/1/12,13293,12
2011/1/12,13135,13
2011/1/12,13083,14
2011/1/12,13132,15
2011/1/12,13154,16
2011/1/12,13189,17
2011/1/12,13615,18
2011/1/12,14272,19
2011/1/12,14129,20
2011/1/12,13921,21
2011/1/12,13606,22
2011/1/12,13048,23
2011/1/13,12149,0
2011/1/13,11348,1
2011/1/13,10848,2
2011/1/13,10574,3
2011/1/13,10405,4
2011/1/13,10450,5
2011/1/13,10711,6
2011/1/13,11419,7
2011/1/13,12626,8
2011/1/13,13262,9
2011/1/13,13315,10
2011/1/13,13358,11
2011/1/13,13324,12
2011/1/13,13268,13
2011/1/13,13098,14
2011/1/13,13302,15
2011/1/13,13310,16
2011/1/13,13318,17
2011/1/13,13767,18
2011/1/13,14455,19
2011/1/13,14322,20
2011/1/13,14137,21
2011/1/13,13850,22
2011/1/13,13300,23
2011/1/14,12455,0
2011/1/14,11643,1
2011/1/14,11173,2
2011/1/14,10881,3
2011/1/14,10703,4
2011/1/14,10707,5
2011/1/14,10916,6
2011/1/14,11582,7
2011/1/14,12694,8
2011/1/14,13254,9
2011/1/14,13345,10
2011/1/14,13390,11
2011/1/14,13386,12
2011/1/14,13250,13
2011/1/14,13114,14
2011/1/14,13068,15
2011/1/14,13000,16
2011/1/14,12967,17
2011/1/14,13336,18
2011/1/14,13980,19
2011/1/14,13812,20
2011/1/14,13553,21
2011/1/14,13231,22
2011/1/14,12833,23
2011/1/15,12120,0
2011/1/15,11449,1
2011/1/15,10892,2
2011/1/15,10573,3
2011/1/15,10343,4
2011/1/15,10264,5
2011/1/15,10317,6
2011/1/15,10610,7
2011/1/15,11076,8
2011/1/15,11458,9
2011/1/15,11750,10
2011/1/15,11993,11
2011/1/15,12001,12
2011/1/15,12004,13
2011/1/15,11787,14
2011/1/15,11730,15
2011/1/15,11633,16
2011/1/15,11725,17
2011/1/15,12095,18
2011/1/15,12899,19
2011/1/15,12841,20
2011/1/15,12730,21
2011/1/15,12555,22
2011/1/15,12279,23
2011/1/16,11734,0
2011/1/16,11200,1
2011/1/16,10725,2
2011/1/16,10485,3
2011/1/16,10306,4
2011/1/16,10249,5
2011/1/16,10362,6
2011/1/16,10495,7
2011/1/16,10836,8
2011/1/16,10878,9
2011/1/16,11154,10
2011/1/16,11288,11
2011/1/16,11423,12
2011/1/16,11429,13
2011/1/16,11411,14
2011/1/16,11336,15
2011/1/16,11257,16
2011/1/16,11299,17
2011/1/16,11847,18
2011/1/16,12647,19
2011/1/16,12667,20
2011/1/16,12569,21
2011/1/16,12332,22
2011/1/16,12048,23
2011/1/17,11518,0
2011/1/17,11005,1
2011/1/17,10594,2
2011/1/17,10438,3
2011/1/17,10329,4
2011/1/17,10378,5
2011/1/17,10642,6
2011/1/17,11288,7
2011/1/17,12217,8
2011/1/17,12790,9
2011/1/17,13115,10
2011/1/17,13330,11
2011/1/17,13451,12
2011/1/17,13363,13
2011/1/17,13213,14
2011/1/17,13205,15
2011/1/17,13142,16
2011/1/17,13088,17
2011/1/17,13531,18
2011/1/17,14075,19
2011/1/17,13871,20
2011/1/17,13596,21
2011/1/17,13231,22
2011/1/17,12637,23
2011/1/18,11764,0
2011/1/18,10988,1
2011/1/18,10481,2
2011/1/18,10163,3
2011/1/18,9974,4
2011/1/18,9949,5
2011/1/18,10203,6
2011/1/18,10945,7
2011/1/18,12172,8
2011/1/18,12909,9
2011/1/18,13043,10
2011/1/18,13128,11
2011/1/18,13213,12
2011/1/18,13219,13
2011/1/18,13204,14
2011/1/18,13273,15
2011/1/18,13295,16
2011/1/18,13392,17
2011/1/18,13830,18
2011/1/18,14339,19
2011/1/18,14155,20
2011/1/18,13937,21
2011/1/18,13648,22
2011/1/18,13053,23
2011/1/19,12164,0
2011/1/19,11359,1
2011/1/19,10884,2
2011/1/19,10628,3
2011/1/19,10469,4
2011/1/19,10506,5
2011/1/19,10780,6
2011/1/19,11515,7
2011/1/19,12736,8
2011/1/19,13406,9
2011/1/19,13477,10
2011/1/19,13499,11
2011/1/19,13511,12
2011/1/19,13358,13
2011/1/19,13185,14
2011/1/19,13056,15
2011/1/19,12943,16
2011/1/19,12909,17
2011/1/19,13370,18
2011/1/19,14307,19
2011/1/19,14311,20
2011/1/19,14111,21
2011/1/19,13821,22
2011/1/19,13251,23
2011/1/20,12420,0
2011/1/20,11651,1
2011/1/20,11176,2
2011/1/20,10892,3
2011/1/20,10713,4
2011/1/20,10690,5
2011/1/20,10952,6
2011/1/20,11659,7
2011/1/20,12925,8
2011/1/20,13577,9
2011/1/20,13719,10
2011/1/20,13779,11
2011/1/20,13836,12
2011/1/20,13692,13
2011/1/20,13573,14
2011/1/20,13550,15
2011/1/20,13418,16
2011/1/20,13364,17
2011/1/20,13766,18
2011/1/20,14702,19
2011/1/20,14725,20
2011/1/20,14598,21
2011/1/20,14363,22
2011/1/20,13882,23
2011/1/21,13108,0
2011/1/21,12417,1
2011/1/21,11993,2
2011/1/21,11757,3
2011/1/21,11632,4
2011/1/21,11666,5
2011/1/21,11953,6
2011/1/21,12580,7
2011/1/21,13734,8
2011/1/21,14255,9
2011/1/21,14292,10
2011/1/21,14289,11
2011/1/21,14262,12
2011/1/21,14148,13
2011/1/21,14030,14
2011/1/21,13941,15
2011/1/21,13802,16
2011/1/21,13784,17
2011/1/21,14153,18
2011/1/21,14949,19
2011/1/21,14945,20
2011/1/21,14717,21
2011/1/21,14449,22
2011/1/21,13973,23
2011/1/22,13245,0
2011/1/22,12449,1
2011/1/22,11964,2
2011/1/22,11630,3
2011/1/22,11388,4
2011/1/22,11341,5
2011/1/22,11402,6
2011/1/22,11709,7
2011/1/22,12111,8
2011/1/22,12392,9
2011/1/22,12665,10
2011/1/22,12888,11
2011/1/22,12900,12
2011/1/22,12727,13
2011/1/22,12459,14
2011/1/22,12224,15
2011/1/22,12165,16
2011/1/22,12301,17
2011/1/22,12693,18
2011/1/22,13544,19
2011/1/22,13573,20
2011/1/22,13491,21
2011/1/22,13287,22
2011/1/22,12995,23
2011/1/23,12447,0
2011/1/23,11908,1
2011/1/23,11503,2
2011/1/23,11280,3
2011/1/23,11068,4
2011/1/23,11044,5
2011/1/23,11026,6
2011/1/23,11195,7
2011/1/23,11471,8
2011/1/23,11505,9
2011/1/23,11715,10
2011/1/23,11728,11
2011/1/23,11728,12
2011/1/23,11652,13
2011/1/23,11635,14
2011/1/23,11498,15
2011/1/23,11373,16
2011/1/23,11383,17
2011/1/23,11847,18
2011/1/23,12869,19
2011/1/23,13215,20
2011/1/23,13188,21
2011/1/23,12980,22
2011/1/23,12591,23
2011/1/24,11924,0
2011/1/24,11401,1
2011/1/24,11005,2
2011/1/24,10828,3
2011/1/24,10756,4
2011/1/24,10804,5
2011/1/24,11059,6
2011/1/24,11725,7
2011/1/24,12900,8
2011/1/24,13516,9
2011/1/24,13630,10
2011/1/24,13684,11
2011/1/24,13740,12
2011/1/24,13643,13
2011/1/24,13576,14
2011/1/24,13562,15
2011/1/24,13469,16
2011/1/24,13477,17
2011/1/24,13763,18
2011/1/24,14411,19
2011/1/24,14334,20
2011/1/24,14121,21
2011/1/24,13799,22
2011/1/24,13249,23
2011/1/25,12371,0
2011/1/25,11544,1
2011/1/25,11034,2
2011/1/25,10705,3
2011/1/25,10515,4
2011/1/25,10522,5
2011/1/25,10784,6
2011/1/25,11434,7
2011/1/25,12621,8
2011/1/25,13226,9
2011/1/25,13318,10
2011/1/25,13371,11
2011/1/25,13459,12
2011/1/25,13374,13
2011/1/25,13195,14
2011/1/25,13083,15
2011/1/25,12981,16
2011/1/25,13039,17
2011/1/25,13386,18
2011/1/25,14043,19
2011/1/25,13949,20
2011/1/25,13713,21
2011/1/25,13393,22
2011/1/25,12804,23
2011/1/26,11914,0
2011/1/26,11092,1
2011/1/26,10603,2
2011/1/26,10318,3
2011/1/26,10146,4
2011/1/26,10165,5
2011/1/26,10425,6
2011/1/26,11150,7
2011/1/26,12347,8
2011/1/26,13025,9
2011/1/26,13166,10
2011/1/26,13274,11
2011/1/26,13423,12
2011/1/26,13406,13
2011/1/26,13391,14
2011/1/26,13431,15
2011/1/26,13385,16
2011/1/26,13413,17
2011/1/26,13796,18
2011/1/26,14383,19
2011/1/26,14267,20
2011/1/26,14032,21
2011/1/26,13722,22
2011/1/26,13186,23
2011/1/27,12318,0
2011/1/27,11531,1
2011/1/27,11061,2
2011/1/27,10814,3
2011/1/27,10643,4
2011/1/27,10685,5
2011/1/27,10967,6
2011/1/27,11637,7
2011/1/27,12812,8
2011/1/27,13477,9
2011/1/27,13580,10
2011/1/27,13673,11
2011/1/27,13743,12
2011/1/27,13657,13
2011/1/27,13504,14
2011/1/27,13466,15
2011/1/27,13365,16
2011/1/27,13296,17
2011/1/27,13541,18
2011/1/27,14227,19
2011/1/27,14222,20
2011/1/27,14007,21
2011/1/27,13644,22
2011/1/27,13124,23
2011/1/28,12248,0
2011/1/28,11462,1
2011/1/28,10937,2
2011/1/28,10668,3
2011/1/28,10445,4
2011/1/28,10493,5
2011/1/28,10737,6
2011/1/28,11451,7
2011/1/28,12591,8
2011/1/28,13023,9
2011/1/28,13058,10
2011/1/28,13017,11
2011/1/28,12893,12
2011/1/28,12773,13
2011/1/28,12650,14
2011/1/28,12693,15
2011/1/28,12619,16
2011/1/28,12632,17
2011/1/28,12966,18
2011/1/28,13631,19
2011/1/28,13557,20
2011/1/28,13348,21
2011/1/28,13073,22
2011/1/28,12705,23
2011/1/29,11965,0
2011/1/29,11256,1
2011/1/29,10679,2
2011/1/29,10336,3
2011/1/29,10057,4
2011/1/29,10005,5
2011/1/29,10013,6
2011/1/29,10299,7
2011/1/29,10750,8
2011/1/29,11031,9
2011/1/29,11375,10
2011/1/29,11658,11
2011/1/29,11704,12
2011/1/29,11665,13
2011/1/29,11464,14
2011/1/29,11254,15
2011/1/29,11073,16
2011/1/29,11093,17
2011/1/29,11382,18
2011/1/29,12161,19
2011/1/29,12223,20
2011/1/29,12045,21
2011/1/29,11866,22
2011/1/29,11542,23
2011/1/30,11001,0
2011/1/30,10436,1
2011/1/30,9949,2
2011/1/30,9611,3
2011/1/30,9433,4
2011/1/30,9361,5
2011/1/30,9339,6
2011/1/30,9520,7
2011/1/30,9816,8
2011/1/30,9959,9
2011/1/30,10282,10
2011/1/30,10607,11
2011/1/30,10829,12
2011/1/30,10946,13
2011/1/30,10953,14
2011/1/30,10947,15
2011/1/30,10923,16
2011/1/30,10985,17
2011/1/30,11351,18
2011/1/30,12239,19
2011/1/30,12435,20
2011/1/30,12346,21
2011/1/30,12140,22
2011/1/30,11759,23
2011/1/31,11165,0
2011/1/31,10565,1
2011/1/31,10175,2
2011/1/31,10056,3
2011/1/31,9992,4
2011/1/31,10089,5
2011/1/31,10470,6
2011/1/31,11255,7
2011/1/31,12599,8
2011/1/31,13226,9
2011/1/31,13447,10
2011/1/31,13488,11
2011/1/31,13521,12
2011/1/31,13316,13
2011/1/31,13210,14
2011/1/31,13273,15
2011/1/31,13249,16
2011/1/31,13324,17
2011/1/31,13631,18
2011/1/31,14332,19
2011/1/31,14390,20
2011/1/31,14165,21
2011/1/31,13907,22
2011/1/31,13332,23
2011/2/1,12453,0
2011/2/1,11665,1
2011/2/1,11152,2
2011/2/1,10883,3
2011/2/1,10762,4
2011/2/1,10776,5
2011/2/1,11058,6
2011/2/1,11786,7
2011/2/1,12961,8
2011/2/1,13502,9
2011/2/1,13695,10
2011/2/1,13811,11
2011/2/1,13937,12
2011/2/1,13944,13
2011/2/1,13892,14
2011/2/1,13847,15
2011/2/1,13629,16
2011/2/1,13314,17
2011/2/1,13517,18
2011/2/1,14175,19
2011/2/1,13967,20
2011/2/1,13467,21
2011/2/1,12972,22
2011/2/1,12462,23
2011/2/2,11754,0
2011/2/2,11056,1
2011/2/2,10554,2
2011/2/2,10295,3
2011/2/2,10153,4
2011/2/2,10116,5
2011/2/2,10207,6
2011/2/2,10475,7
2011/2/2,11086,8
2011/2/2,11147,9
2011/2/2,11352,10
2011/2/2,11439,11
2011/2/2,11394,12
2011/2/2,11318,13
2011/2/2,11176,14
2011/2/2,11045,15
2011/2/2,10999,16
2011/2/2,11179,17
2011/2/2,11605,18
2011/2/2,12666,19
2011/2/2,12960,20
2011/2/2,12810,21
2011/2/2,12552,22
2011/2/2,12182,23
2011/2/3,11580,0
2011/2/3,11068,1
2011/2/3,10773,2
2011/2/3,10667,3
2011/2/3,10618,4
2011/2/3,10716,5
2011/2/3,11028,6
2011/2/3,11709,7
2011/2/3,12649,8
2011/2/3,13098,9
2011/2/3,13350,10
2011/2/3,13510,11
2011/2/3,13592,12
2011/2/3,13559,13
2011/2/3,13518,14
2011/2/3,13458,15
2011/2/3,13356,16
2011/2/3,13212,17
2011/2/3,13445,18
2011/2/3,14378,19
2011/2/3,14721,20
2011/2/3,14654,21
2011/2/3,14382,22
2011/2/3,13889,23
2011/2/4,13072,0
2011/2/4,12319,1
2011/2/4,11865,2
2011/2/4,11604,3
2011/2/4,11428,4
2011/2/4,11467,5
2011/2/4,11642,6
2011/2/4,12302,7
2011/2/4,13349,8
2011/2/4,13767,9
2011/2/4,13739,10
2011/2/4,13744,11
2011/2/4,13671,12
2011/2/4,13528,13
2011/2/4,13364,14
2011/2/4,13216,15
2011/2/4,13014,16
2011/2/4,12875,17
2011/2/4,13047,18
2011/2/4,13838,19
2011/2/4,14093,20
2011/2/4,13924,21
2011/2/4,13619,22
2011/2/4,13278,23
2011/2/5,12631,0
2011/2/5,11902,1
2011/2/5,11404,2
2011/2/5,11067,3
2011/2/5,10888,4
2011/2/5,10778,5
2011/2/5,10879,6
2011/2/5,11138,7
2011/2/5,11600,8
2011/2/5,11731,9
2011/2/5,12002,10
2011/2/5,12101,11
2011/2/5,12126,12
2011/2/5,11979,13
2011/2/5,11747,14
2011/2/5,11517,15
2011/2/5,11296,16
2011/2/5,11227,17
2011/2/5,11512,18
2011/2/5,12335,19
2011/2/5,12675,20
2011/2/5,12555,21
2011/2/5,12337,22
2011/2/5,12027,23
2011/2/6,11457,0
2011/2/6,10900,1
2011/2/6,10404,2
2011/2/6,10150,3
2011/2/6,9912,4
2011/2/6,9827,5
2011/2/6,9818,6
2011/2/6,9988,7
2011/2/6,10253,8
2011/2/6,10348,9
2011/2/6,10571,10
2011/2/6,10854,11
2011/2/6,10988,12
2011/2/6,11075,13
2011/2/6,11088,14
2011/2/6,11099,15
2011/2/6,11144,16
2011/2/6,11193,17
2011/2/6,11487,18
2011/2/6,12069,19
2011/2/6,12143,20
2011/2/6,11957,21
2011/2/6,11795,22
2011/2/6,11564,23
2011/2/7,11071,0
2011/2/7,10486,1
2011/2/7,10087,2
2011/2/7,9919,3
2011/2/7,9782,4
2011/2/7,9841,5
2011/2/7,10185,6
2011/2/7,11003,7
2011/2/7,12238,8
2011/2/7,12714,9
2011/2/7,12851,10
2011/2/7,12834,11
2011/2/7,12803,12
2011/2/7,12717,13
2011/2/7,12667,14
2011/2/7,12788,15
2011/2/7,12809,16
2011/2/7,12875,17
2011/2/7,13095,18
2011/2/7,13756,19
2011/2/7,13894,20
2011/2/7,13701,21
2011/2/7,13445,22
2011/2/7,12913,23
2011/2/8,12116,0
2011/2/8,11387,1
2011/2/8,10950,2
2011/2/8,10715,3
2011/2/8,10628,4
2011/2/8,10698,5
2011/2/8,11005,6
2011/2/8,11794,7
2011/2/8,12997,8
2011/2/8,13470,9
2011/2/8,13618,10
2011/2/8,13580,11
2011/2/8,13547,12
2011/2/8,13445,13
2011/2/8,13335,14
2011/2/8,13294,15
2011/2/8,13191,16
2011/2/8,13203,17
2011/2/8,13503,18
2011/2/8,14294,19
2011/2/8,14795,20
2011/2/8,14726,21
2011/2/8,14527,22
2011/2/8,13998,23
2011/2/9,13195,0
2011/2/9,12435,1
2011/2/9,11947,2
2011/2/9,11720,3
2011/2/9,11593,4
2011/2/9,11615,5
2011/2/9,11848,6
2011/2/9,12548,7
2011/2/9,13669,8
2011/2/9,14098,9
2011/2/9,14219,10
2011/2/9,14226,11
2011/2/9,14162,12
2011/2/9,14025,13
2011/2/9,13860,14
2011/2/9,13807,15
2011/2/9,13681,16
2011/2/9,13677,17
2011/2/9,13873,18
2011/2/9,14705,19
2011/2/9,15052,20
2011/2/9,14978,21
2011/2/9,14728,22
2011/2/9,14230,23
2011/2/10,13420,0
2011/2/10,12685,1
2011/2/10,12249,2
2011/2/10,12031,3
2011/2/10,11918,4
2011/2/10,11957,5
2011/2/10,12206,6
2011/2/10,12838,7
2011/2/10,13973,8
2011/2/10,14371,9
2011/2/10,14402,10
2011/2/10,14328,11
2011/2/10,14259,12
2011/2/10,14140,13
2011/2/10,13991,14
2011/2/10,13899,15
2011/2/10,13758,16
2011/2/10,13662,17
2011/2/10,13821,18
2011/2/10,14582,19
2011/2/10,14965,20
2011/2/10,14831,21
2011/2/10,14469,22
2011/2/10,13965,23
2011/2/11,13120,0
2011/2/11,12311,1
2011/2/11,11892,2
2011/2/11,11588,3
2011/2/11,11482,4
2011/2/11,11446,5
2011/2/11,11669,6
2011/2/11,12287,7
2011/2/11,13296,8
2011/2/11,13682,9
2011/2/11,13832,10
2011/2/11,13944,11
2011/2/11,13971,12
2011/2/11,13810,13
2011/2/11,13674,14
2011/2/11,13688,15
2011/2/11,13620,16
2011/2/11,13433,17
2011/2/11,13524,18
2011/2/11,14076,19
2011/2/11,14173,20
2011/2/11,13887,21
2011/2/11,13513,22
2011/2/11,13069,23
2011/2/12,12302,0
2011/2/12,11532,1
2011/2/12,10968,2
2011/2/12,10562,3
2011/2/12,10299,4
2011/2/12,10260,5
2011/2/12,10302,6
2011/2/12,10638,7
2011/2/12,11059,8
2011/2/12,11229,9
2011/2/12,11430,10
2011/2/12,11568,11
2011/2/12,11533,12
2011/2/12,11429,13
2011/2/12,11213,14
2011/2/12,11074,15
2011/2/12,10984,16
2011/2/12,11032,17
2011/2/12,11221,18
2011/2/12,11975,19
2011/2/12,12212,20
2011/2/12,12119,21
2011/2/12,11923,22
2011/2/12,11551,23
2011/2/13,10995,0
2011/2/13,10424,1
2011/2/13,9944,2
2011/2/13,9685,3
2011/2/13,9497,4
2011/2/13,9396,5
2011/2/13,9490,6
2011/2/13,9618,7
2011/2/13,9878,8
2011/2/13,9852,9
2011/2/13,10175,10
2011/2/13,10283,11
2011/2/13,10300,12
2011/2/13,10181,13
2011/2/13,10128,14
2011/2/13,9988,15
2011/2/13,9912,16
2011/2/13,9896,17
2011/2/13,10164,18
2011/2/13,11022,19
2011/2/13,11726,20
2011/2/13,11670,21
2011/2/13,11499,22
2011/2/13,11138,23
2011/2/14,10560,0
2011/2/14,9986,1
2011/2/14,9583,2
2011/2/14,9442,3
2011/2/14,9387,4
2011/2/14,9428,5
2011/2/14,9704,6
2011/2/14,10469,7
2011/2/14,11676,8
2011/2/14,12253,9
2011/2/14,12492,10
2011/2/14,12589,11
2011/2/14,12503,12
2011/2/14,12409,13
2011/2/14,12295,14
2011/2/14,12149,15
2011/2/14,11980,16
2011/2/14,11846,17
2011/2/14,11941,18
2011/2/14,12581,19
2011/2/14,13013,20
2011/2/14,12874,21
2011/2/14,12629,22
2011/2/14,12180,23
2011/2/15,11431,0
2011/2/15,10697,1
2011/2/15,10233,2
2011/2/15,9959,3
2011/2/15,9814,4
2011/2/15,9844,5
2011/2/15,10132,6
2011/2/15,10945,7
2011/2/15,12091,8
2011/2/15,12596,9
2011/2/15,12666,10
2011/2/15,12610,11
2011/2/15,12697,12
2011/2/15,12684,13
2011/2/15,12608,14
2011/2/15,12579,15
2011/2/15,12505,16
2011/2/15,12442,17
2011/2/15,12617,18
2011/2/15,13184,19
2011/2/15,13472,20
2011/2/15,13251,21
2011/2/15,12919,22
2011/2/15,12337,23
2011/2/16,11480,0
2011/2/16,10678,1
2011/2/16,10103,2
2011/2/16,9777,3
2011/2/16,9614,4
2011/2/16,9568,5
2011/2/16,9811,6
2011/2/16,10513,7
2011/2/16,11607,8
2011/2/16,12080,9
2011/2/16,12232,10
2011/2/16,12183,11
2011/2/16,12120,12
2011/2/16,12025,13
2011/2/16,11858,14
2011/2/16,11810,15
2011/2/16,11724,16
2011/2/16,11650,17
2011/2/16,11629,18
2011/2/16,12300,19
2011/2/16,12697,20
2011/2/16,12535,21
2011/2/16,12185,22
2011/2/16,11633,23
2011/2/17,10814,0
2011/2/17,9997,1
2011/2/17,9511,2
2011/2/17,9195,3
2011/2/17,9008,4
2011/2/17,8935,5
2011/2/17,9178,6
2011/2/17,9904,7
2011/2/17,11017,8
2011/2/17,11690,9
2011/2/17,11886,10
2011/2/17,12054,11
2011/2/17,12139,12
2011/2/17,12095,13
2011/2/17,12058,14
2011/2/17,12068,15
2011/2/17,11983,16
2011/2/17,11947,17
2011/2/17,12042,18
2011/2/17,12353,19
2011/2/17,12627,20
2011/2/17,12427,21
2011/2/17,12067,22
2011/2/17,11560,23
2011/2/18,10722,0
2011/2/18,9948,1
2011/2/18,9394,2
2011/2/18,9186,3
2011/2/18,9024,4
2011/2/18,9068,5
2011/2/18,9361,6
2011/2/18,10083,7
2011/2/18,11179,8
2011/2/18,11715,9
2011/2/18,11836,10
2011/2/18,11918,11
2011/2/18,11963,12
